"","","","I have a reserved and cautious attitude toward life.","I have trouble controlling my impulses.","I generally seek new and exciting experiences and sensations.","I generally like to see things through to the end.","When I am very happy, I can't seem to stop myself from doing things that can have bad consequences.","My thinking is usually careful and purposeful.","I have trouble resisting my cravings (for food, cigarettes, etc.).","I'll try anything once.","I tend to give up easily.","When I am in a great mood, I tend to get into situations that could cause me problems.","I am not one of those people who blurt out things without thinking.","I often get involved in things I later wish I could get out of.","I like sports and games in which you have to choose your next move very quickly.","Unfinished tasks really bother me.","When I am very happy, I tend to do things that may cause problems in my life.","I like to stop and think things over before I do them.","When I feel bad, I will often do things I later regret in order to make myself feel better now.","I would enjoy water skiing.","Once I get going on something I hate to stop.","I tend to lose control when I am in a great mood.","I don't like to start a project until I know exactly how to proceed.","Sometimes when I feel bad, I can't seem to stop what I am doing even though it is making me feel worse.","I quite enjoy taking risks.","I concentrate easily.","When I am really ecstatic, I tend to get out of control.","I would enjoy parachute jumping.","I finish what I start.","I tend to value and follow a rational, 'sensible' approach to things.","When I am upset I often act without thinking.","Others would say I make bad choices when I am extremely happy about something.","I welcome new and exciting experiences and sensations, even if they are a little frightening and unconventional.","I am able to pace myself so as to get things done on time.","I usually make up my mind through careful reasoning.","When I feel rejected, I will often say things that I later regret.","Others are shocked or worried about the things I do when I am feeling very excited.","I would like to learn to fly an airplane.","I am a person who always gets the job done.","I am a cautious person.","It is hard for me to resist acting on my feelings.","When I get really happy about something, I tend to do things that can have bad consequences.","I sometimes like doing things that are a bit frightening.","I almost always finish projects that I start.","Before I get into a new situation I like to find out what to expect from it.","I often make matters worse because I act without thinking when I am upset.","When overjoyed, I feel like I can't stop myself from going overboard.","I would enjoy the sensation of skiing very fast down a high mountain slope.","Sometimes there are so many little things to be done that I just ignore them all.","I usually think carefully before doing anything.","Before making up my mind, I consider all the advantages and disadvantages.","When I am really excited, I tend not to think of the consequences of my actions.","In the heat of an argument, I will often say things that I later regret.","I would like to go scuba diving.","I tend to act without thinking when I am really excited.","I always keep my feelings under control.","When I am really happy, I often find myself in situations that I normally wouldn't be comfortable with.","I would enjoy fast driving.","When I am very happy, I feel like it is ok to give in to cravings or overindulge.","Sometimes I do impulsive things that I later regret.","I am surprised at the things I do while in a great mood.","Negative Urgency Score","lack of Premeditation Score","(lack of) Perseverance Score","Sensation Seeking Score","Positive Urgency Score","Total Score"
"A00035827","ENROLLED","V1REP","2","4","2","2","4","2","2","2","4","4","1","2","2","2","4","2","4","3","2","2","1","4","4","2","3","4","2","2","4","4","4","2","2","3","4","4","2","2","2","4","4","2","1","4","4","4","4","1","4","4","4","3","4","4","4","4","2","4","2","22","20","18","20","21","101"
"A00053475","ENROLLED","V1","2","2","2","1","4","1","2","4","2","4","1","4","4","1","4","1","4","4","2","4","2","2","4","2","4","4","2","1","4","4","4","2","2","3","4","3","2","1","3","4","4","1","1","4","4","4","3","1","1","4","4","4","4","1","4","4","3","3","4","21","14","18","15","15","83"
"A00031794","Older Adult- Age 60-64","V1","2","3","2","2","3","2","2","3","3","3","3","3","2","2","4","1","3","2","2","3","2","3","3","2","3","3","2","1","2","3","1","1","2","1","3","3","2","2","3","3","3","2","2","3","3","3","3","2","1","4","3","3","3","2","3","3","3","4","3","27","20","19","29","26","121"
"A00062268","ONE_DAY- Age 22-59","VA","2","4","3","2","4","1","2","4","3","4","3","3","3","2","4","2","3","2","2","4","2","3","4","2","4","4","2","1","2","4","4","2","2","2","4","4","2","2","3","4","2","2","1","3","4","4","4","2","2","4","2","3","3","3","4","4","2","3","4","28","20","19","19","17","103"
"A00008399","Adult- Age 22-59","V1","2","3","3","2","3","2","2","3","2","3","2","2","2","2","3","2","2","2","1","3","2","2","3","3","3","2","2","2","2","3","3","1","1","2","3","3","2","2","1","3","3","2","2","2","3","2","2","2","2","3","2","2","3","2","3","3","2","3","3","34","21","21","29","29","134"
"A00040104","Older Adult- Age 65-85","V1","1","3","3","2","4","1","4","3","3","4","2","3","3","2","4","2","3","4","2","4","2","4","4","2","4","4","1","1","3","4","3","2","2","3","4","4","1","1","3","4","3","1","1","4","4","4","2","1","2","4","4","4","4","2","4","4","4","3","3","20","16","18","17","15","86"
"A00031452","Adult- Age 22-59","V1","1","4","2","1","3","1","2","2","4","3","1","2","1","1","3","1","1","1","1","4","1","3","3","2","3","4","2","1","4","4","2","2","2","3","3","1","2","1","3","3","4","1","1","4","4","4","4","1","2","3","3","1","4","2","3","3","3","3","3","25","13","14","32","24","108"
"A00033232","Adult- Age 22-59","V1","2","4","2","1","4","1","4","4","4","4","1","4","2","2","4","1","4","2","2","4","2","4","2","3","4","2","1","2","4","4","2","1","1","4","4","1","2","2","4","4","2","2","2","4","4","3","3","2","2","4","4","2","4","2","4","2","4","4","4","13","18","17","34","14","96"
"A00060582","Adult- Age 22-59","V1","2","3","2","1","3","2","3","2","4","4","1","3","4","2","4","2","4","1","3","4","2","4","2","2","4","3","2","2","3","4","2","1","2","2","4","4","2","3","3","4","4","1","3","4","4","3","3","2","2","4","2","1","3","2","4","1","2","4","2","22","23","17","31","20","113"
"A00043677","Adult- Age 22-59","V1","3","3","2","2","2","2","3","2","3","3","3","3","2","2","3","2","3","2","2","3","2","3","2","2","3","3","2","2","2","3","2","2","2","3","2","3","2","2","3","3","2","2","2","3","3","2","3","2","2","3","3","3","3","2","3","2","3","2","3","26","24","20","33","30","133"
"A00062929","ONE_DAY- Age 22-59","VA","3","3","2","2","4","4","2","4","2","2","3","1","4","1","4","3","2","4","2","4","4","2","3","3","4","4","2","2","1","4","4","2","4","1","3","4","2","2","1","4","4","2","4","1","3","4","2","2","4","4","1","4","4","4","4","4","2","2","2","42","35","22","15","22","136"
"A00054153","Older Adult- Age 60-64","V1","2","3","3","1","3","2","3","2","3","3","2","3","1","3","3","2","2","4","3","3","2","3","3","2","3","4","2","2","3","3","2","2","2","3","3","3","3","2","3","3","2","2","2","3","3","4","3","2","2","3","3","2","3","3","3","3","3","2","2","27","22","22","27","29","127"
"A00061263","ONE_DAY- Age 22-59","VA","1","4","2","2","4","2","4","3","3","4","2","3","2","1","4","1","3","1","2","3","2","3","3","2","3","1","2","2","3","3","2","2","2","3","2","1","2","2","2","3","2","1","2","3","3","2","3","2","2","3","3","1","3","2","3","2","3","3","2","23","20","18","38","27","126"
"A00039391","Adult- Age 22-59","V1","2","3","1","1","3","2","4","1","4","3","2","2","1","1","3","2","3","4","1","3","2","2","1","1","3","1","1","1","3","3","2","2","1","3","4","1","1","2","2","4","2","2","2","3","4","1","4","1","2","3","3","1","3","2","4","1","3","3","2","26","19","12","43","25","125"
"A00037817","Adult- Age 22-59","V1","2","2","1","1","4","2","2","2","4","4","3","2","2","1","4","2","2","1","1","4","2","2","2","1","4","3","1","2","2","4","2","1","2","2","4","3","1","2","1","4","2","1","2","2","4","2","4","2","2","3","2","1","3","4","4","3","2","2","2","38","23","10","36","20","127"
"A00066090","ONE_DAY- Age 22-59","VA","1","2","2","3","2","4","3","2","1","2","3","2","1","3","2","2","1","2","4","1","2","2","3","1","3","2","2","3","4","3","2","3","4","2","1","3","4","2","3","1","4","3","2","3","1","3","3","4","2","3","2","1","3","3","4","3","1","2","3","32","29","29","32","40","162"
"A00039432","Adult- Age 22-59","V1","1","2","3","1","4","2","2","3","3","4","1","4","2","2","4","1","4","3","2","4","1","2","3","2","4","4","2","1","4","4","3","2","1","3","4","4","2","2","3","4","4","1","1","4","4","3","3","1","1","4","2","3","4","3","4","2","3","4","3","24","13","18","23","16","94"
"A00038115","Adult- Age 22-59","V1","2","4","1","1","4","1","1","2","3","4","2","3","2","1","4","1","4","2","2","3","3","4","2","2","4","4","2","2","3","4","2","2","2","2","3","4","2","2","3","4","2","2","2","4","4","3","3","2","2","4","2","4","2","2","4","2","1","2","3","25","21","18","30","22","116"
"A00063473","ONE_DAY-Age 65-85","VA","4","4","2","1","4","2","4","2","4","4","2","3","3","1","4","1","4","3","1","4","1","4","1","2","4","4","1","1","4","4","2","2","1","4","4","4","1","1","4","4","3","1","1","4","4","4","2","1","1","4","2","4","4","2","4","3","4","3","4","17","16","14","25","14","86"
"A00062248","ONE_DAY- Age 22-59","VA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A00053202","Adult- Age 22-59","V1","1","2","3","1","4","1","1","2","1","4","2","2","3","2","4","3","4","1","2","4","1","4","4","2","4","4","1","1","2","4","3","1","2","2","4","4","1","2","2","4","2","1","1","2","4","4","4","2","2","4","2","2","4","3","2","4","1","2","2","33","18","16","24","21","112"
"A00044307","Adult-Age 18-21","V1","3","3","1","1","1","3","3","2","4","4","4","4","1","3","3","3","3","3","1","1","3","3","1","4","1","4","3","2","1","3","2","2","2","4","2","4","1","3","1","3","3","3","2","1","2","4","1","2","3","3","2","3","3","3","3","1","2","3","2","30","30","23","31","37","151"
"A00035744","Adult- Age 22-59","V1","2","2","2","2","3","3","3","2","4","3","3","2","4","4","3","2","3","3","4","4","3","3","4","4","4","3","4","3","4","3","2","4","3","3","3","4","1","4","4","3","3","4","4","4","4","2","3","3","3","3","3","4","4","4","4","4","4","4","3","24","33","30","23","22","132"
"A00043649","Adult- Age 22-59","V1","3","2","1","1","3","1","2","2","4","3","1","3","1","1","4","1","4","4","1","1","3","3","1","2","4","2","1","1","4","3","1","2","2","4","4","1","1","2","3","4","1","1","1","4","4","2","2","1","2","2","2","1","4","2","2","1","3","2","2","24","18","14","42","27","125"
"A00040152","Older Adult- Age 65-85","V1","2","4","2","1","4","1","4","4","4","4","1","4","2","2","4","1","4","4","2","4","1","4","2","1","4","4","2","1","4","4","2","1","1","4","4","4","2","1","4","4","4","1","1","4","4","4","4","1","1","4","3","4","4","1","4","4","4","4","2","13","12","14","20","16","75"
"A00028340","Older Adult- Age 65-85","V1","3","2","2","2","1","1","1","2","3","3","2","2","1","1","3","2","3","3","2","3","2","3","2","2","3","2","1","1","3","3","2","2","3","3","3","3","1","2","2","3","3","2","2","3","3","3","3","2","2","3","3","3","3","3","3","3","3","3","2","30","22","17","31","31","131"
"A00053902","ENROLLED","V1","2","4","2","1","4","1","3","3","4","4","1","3","2","2","4","2","3","2","3","4","3","4","2","2","4","4","1","2","3","4","2","2","1","3","3","4","2","1","2","4","2","2","1","4","4","3","4","2","1","4","3","2","4","3","3","1","1","4","2","22","17","17","31","21","108"
"A00039819","Adult- Age 22-59","V1","3","2","2","1","4","1","2","3","4","4","3","4","1","1","4","2","2","1","1","3","2","4","1","4","3","2","1","2","2","4","1","2","1","3","4","2","1","2","3","4","2","1","1","2","3","1","4","1","2","2","3","1","2","2","4","1","2","2","3","28","20","14","42","24","128"
"A00038623","Adult- Age 22-59","V1","1","4","2","2","4","1","3","1","4","4","1","3","2","3","4","1","3","1","2","3","1","3","2","2","4","3","2","2","4","3","3","2","1","3","3","4","2","1","3","4","4","2","2","4","4","1","4","1","1","4","1","1","3","2","4","1","2","4","2","22","13","19","35","22","111"
"A00037112","ENROLLED","V1REP","2","4","2","1","3","1","1","2","2","3","1","1","4","2","4","2","2","2","4","2","2","3","4","2","3","2","2","1","2","4","4","2","2","2","4","4","2","2","4","4","4","2","2","2","4","4","2","2","2","2","2","4","4","3","4","1","1","2","2","33","19","23","23","26","124"
"A00037124","Older Adult- Age 60-64","V1","1","2","1","1","2","2","1","2","2","2","2","3","3","2","2","1","2","1","1","2","2","3","3","3","2","4","2","2","1","1","1","3","2","2","3","4","2","2","2","2","4","3","2","2","2","4","2","2","2","1","1","1","1","2","3","4","1","1","2","37","20","23","28","44","152"
"A00075920","Adult- Age 22-59","V1","1","3","2","1","4","1","2","1","3","4","1","3","1","3","4","1","3","2","2","4","2","4","2","2","4","4","2","1","4","4","2","2","1","2","4","3","2","1","2","4","4","2","1","4","4","2","4","1","2","4","3","2","4","1","4","2","3","4","2","22","13","19","33","17","104"
"A00057445","Adult- Age 22-59","V1","2","4","2","1","4","1","4","3","4","4","1","4","3","1","4","2","4","1","2","4","3","4","3","2","4","3","1","1","4","4","2","1","1","4","4","4","1","1","4","4","2","1","1","4","4","2","3","1","1","3","3","4","4","2","3","3","4","4","4","14","15","13","28","16","86"
"A00059361","Older Adult- Age 65-85","V1","3","4","2","1","4","1","3","1","4","4","1","4","1","1","4","2","4","1","1","4","1","2","2","2","4","1","1","1","4","4","2","1","1","3","4","2","1","2","3","4","2","1","1","4","4","2","3","2","2","4","2","1","4","2","4","2","4","3","4","21","17","12","41","14","105"
"A00031604","Adult- Age 22-59","V1","1","4","2","1","4","2","4","4","3","4","3","4","3","1","4","2","4","2","1","4","2","4","4","2","4","3","1","1","4","4","2","2","2","4","4","2","2","2","3","4","4","2","2","4","4","4","4","2","2","4","4","2","4","2","4","4","4","4","4","14","21","15","24","14","88"
"A00059527","ENROLLED","V1","2","3","2","2","4","2","3","2","4","3","2","2","3","2","3","1","2","1","2","4","2","3","3","2","4","3","1","1","3","4","2","1","1","3","4","4","1","2","4","4","3","1","2","3","3","1","2","2","2","4","3","2","3","2","4","3","2","2","3","26","19","16","31","21","113"
"A00043634","Adult- Age 22-59","V1","3","3","2","1","4","1","3","4","3","4","1","3","2","1","4","2","4","2","1","3","2","2","2","2","4","2","1","1","3","4","2","1","2","3","3","3","1","1","3","4","3","1","1","3","3","3","4","1","1","4","3","2","3","1","3","4","2","4","2","22","16","12","29","23","102"
"A00040286","Older Adult- Age 65-85","V1","2","3","2","1","4","1","2","2","4","3","2","3","4","2","4","1","4","4","3","4","1","3","2","2","4","3","1","1","4","4","2","2","1","3","4","2","1","1","2","4","3","1","1","4","4","4","2","2","2","4","4","4","4","2","4","2","4","4","3","21","15","17","26","16","95"
"A00053607","Adult- Age 22-59","V1","2","2","3","2","3","2","2","3","2","3","2","2","2","2","3","2","2","3","2","3","2","2","3","2","2","3","2","2","2","3","3","3","2","2","3","3","2","2","3","3","3","2","2","3","3","3","3","2","2","3","2","2","3","3","3","3","3","2","3","34","22","22","26","29","133"
"A00051927","Adult- Age 22-59","V1","3","4","2","3","4","1","3","2","2","4","1","4","3","3","4","1","4","2","3","4","2","3","3","2","4","2","2","2","4","4","2","3","2","3","4","3","2","2","3","4","2","3","1","4","4","4","2","2","1","4","3","3","4","2","4","4","3","4","4","18","18","27","28","15","106"
"A00054929","Older Adult- Age 65-85","V1","3","4","2","1","4","1","2","2","4","4","1","4","3","2","4","1","4","2","3","4","3","4","2","2","4","1","1","1","4","4","1","1","1","4","4","4","1","3","4","4","2","1","2","4","4","1","3","1","1","4","4","3","4","1","4","3","2","4","3","14","18","15","34","17","98"
"A00060372","ENROLLED","V1","2","4","2","1","4","1","4","3","3","4","1","3","3","2","4","2","2","3","3","4","2","3","4","2","4","3","2","1","3","4","2","2","2","3","4","4","1","2","3","4","3","2","1","4","4","4","3","1","1","4","4","3","3","3","4","3","2","3","4","22","16","19","23","17","97"
"A00028845","Older Adult- Age 65-85","V1","2","3","3","2","2","3","2","4","2","3","2","2","2","2","3","2","3","4","2","3","4","2","2","3","3","4","2","2","3","3","2","3","2","3","2","3","3","3","2","2","2","4","2","2","4","4","2","3","3","2","2","4","2","3","2","2","2","2","3","32","28","27","24","34","145"
"A00043520","Adult- Age 22-59","V1","2","3","2","1","4","1","2","1","3","4","1","4","3","2","4","1","4","1","1","4","2","4","3","2","4","1","2","1","4","4","2","2","1","4","4","1","2","2","3","4","2","2","1","4","4","4","4","2","1","4","4","4","4","1","4","2","3","4","4","16","15","17","34","15","97"
"A00028352","Adult- Age 22-59","V1","4","4","2","2","4","2","3","2","4","4","2","4","2","3","4","2","4","2","3","4","3","4","2","2","4","2","2","2","4","4","2","2","2","3","4","2","2","3","4","4","2","1","3","4","4","3","3","3","2","4","3","2","4","2","4","3","4","4","4","16","28","20","34","14","112"
"A00033903","Adult- Age 22-59","V1","4","4","3","1","4","1","4","4","4","4","1","2","4","1","4","1","4","3","2","4","3","4","4","1","4","4","1","2","3","4","4","2","1","4","4","4","1","1","4","4","4","1","1","4","4","3","4","1","1","4","2","1","4","3","4","4","4","4","4","19","17","12","18","14","80"
"A00039393","Adult- Age 22-59","V1","3","3","3","1","4","2","3","3","3","4","2","3","4","2","4","1","4","4","2","4","1","3","4","2","4","4","2","1","2","4","3","2","2","4","4","4","2","2","2","4","4","1","1","2","4","4","3","1","1","4","2","4","4","2","4","4","2","4","3","25","17","18","15","17","92"
"A00058317","Older Adult- Age 65-85","V1","4","4","1","1","4","1","1","2","3","4","1","3","2","2","4","2","4","4","3","2","2","4","2","2","4","1","1","1","4","4","1","2","1","4","4","1","2","2","4","4","3","2","2","4","4","4","3","1","1","3","4","1","3","1","4","1","4","4","4","16","18","19","37","18","108"
"A00044011","Adult- Age 22-59","V1","3","3","2","1","4","2","2","1","4","4","2","2","2","1","4","2","4","1","2","3","2","4","2","2","4","2","1","2","4","4","2","2","2","4","4","4","1","2","2","4","2","1","1","4","4","2","2","2","2","3","3","2","4","2","4","4","2","2","4","23","22","15","34","18","112"
"A00051514","Adult-Age 18-21","V1","2","3","2","2","4","1","1","2","3","4","2","2","1","1","4","1","3","1","1","4","1","3","2","1","4","1","1","1","3","4","2","1","2","4","4","3","1","2","2","4","2","1","2","3","4","1","4","1","2","4","2","1","3","3","4","2","2","3","1","29","17","12","40","20","118"
"A00055962","Adult- Age 22-59","V1","1","3","2","1","4","1","3","3","3","4","1","4","2","3","4","1","4","2","2","4","2","4","4","2","4","4","1","1","4","4","4","1","1","4","4","4","1","1","3","4","4","1","1","4","4","4","4","1","1","4","3","4","4","2","4","4","4","4","4","17","12","15","19","14","77"
"A00061767","ONE_DAY-Age 65-85","VA","2","3","2","1","3","1","3","1","2","2","2","2","3","1","2","2","2","1","3","3","1","2","2","2","3","4","1","1","2","3","3","1","2","2","3","4","1","2","2","3","4","1","1","3","3","4","3","1","1","3","3","2","3","2","2","4","3","3","3","30","16","16","26","31","119"
"A00035377","Child Age 16-17","V5","3","3","2","2","4","1","4","2","4","4","1","4","1","2","4","1","2","3","2","4","3","3","1","3","4","2","1","1","3","4","4","1","1","4","4","4","1","1","4","4","2","1","3","4","4","3","4","1","1","4","4","1","4","2","4","3","4","4","4","18","17","15","32","14","96"
"A00065974","ONE_DAY- Age 22-59","VA","2","2","2","2","2","1","2","2","3","3","1","3","2","1","3","2","1","2","3","3","3","3","2","2","3","2","2","2","3","3","3","2","2","3","3","4","1","2","2","2","4","2","2","2","2","4","2","2","2","2","2","4","3","2","3","4","2","1","2","33","21","20","25","34","133"
"A00060848","Adult- Age 22-59","V1","2","3","2","1","3","2","1","2","3","3","3","3","2","1","3","2","3","3","2","3","2","3","2","2","3","3","1","2","2","4","2","2","2","3","3","4","1","2","3","3","2","1","2","4","4","4","3","2","2","4","2","1","3","2","3","2","4","2","3","28","23","15","31","24","121"
"A00057005","ENROLLED","V1","3","3","2","2","4","1","3","2","4","4","3","2","3","3","4","1","4","4","2","3","1","3","2","3","4","4","1","1","4","4","1","2","1","4","4","3","1","2","3","4","1","1","1","4","4","2","4","1","1","4","4","1","4","1","4","2","4","4","4","18","16","17","33","15","99"
"A00073525","ENROLLED","VA_ALG","2","4","1","1","1","1","4","1","4","4","1","1","1","1","4","4","4","1","3","4","3","4","2","1","4","1","1","1","4","4","2","1","1","4","4","1","1","1","4","4","2","1","1","4","4","1","4","1","1","4","4","1","4","2","4","1","4","4","2","16","17","12","45","19","109"
"A00065995","ONE_DAY- Age 22-59","VA","3","2","3","2","4","2","3","2","4","4","3","3","3","4","4","2","4","2","3","4","3","4","4","1","3","2","2","2","3","4","2","3","2","3","4","2","2","2","2","4","3","3","2","4","4","2","3","2","2","2","3","2","3","2","3","2","3","2","3","24","25","23","31","21","124"
"A00066865","ONE_DAY","VA","2","3","2","2","4","1","2","4","4","4","4","3","3","2","4","1","4","3","2","4","1","4","4","2","4","4","1","1","4","4","4","1","1","4","4","4","1","2","4","4","4","1","1","4","4","4","4","1","1","4","4","4","4","2","4","4","4","4","4","17","16","14","16","14","77"
"A00039635","Adult- Age 22-59","V1","3","4","3","1","4","2","2","3","4","4","1","2","4","2","4","1","4","2","3","4","2","4","3","2","4","3","2","1","4","4","3","1","1","2","4","2","2","2","4","4","3","2","2","4","4","3","2","2","2","4","3","2","4","2","3","2","3","4","3","20","19","19","27","17","102"
"A00061727","ONE_DAY- Age 18-21","VA","2","4","2","1","4","1","4","4","4","4","1","4","2","1","4","1","4","2","1","4","1","2","3","1","4","4","1","1","4","4","3","2","1","4","4","4","2","1","4","4","2","1","1","4","4","4","4","1","1","4","4","1","4","2","4","3","2","4","3","15","12","12","26","17","82"
"A00037396","Adult- Age 22-59","V1","3","1","3","3","1","2","2","2","2","2","1","2","3","3","2","3","3","2","2","2","1","1","2","4","1","2","3","2","2","2","3","4","3","1","3","4","3","3","1","2","2","3","1","1","2","2","1","3","3","1","1","2","2","4","2","2","2","1","1","43","25","32","31","45","176"
